id,code,day,session_label,session_time,time,room,title,authors,affiliations,source_pdf,source_pages,start_page,end_page
0257,0257,"Monday, June 22",OR1-2D Physical Sensors and MEMS/NEMS 2,13:00-14:30,13:40,Rose 3,In-situ Interfacial Rheometry of Yield Stress Fluids via Soft MEMS Tactile Sensing: Bridging Tribology and Bulk Rheology,"Ryuga Sano, Akiyoshi Kusano, Takashi Abe, Akiomi Ushida, Masayuki Sohgawa","Niigata University, Japan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0257.pdf,2,74,75
0156,0156,"Monday, June 22",OR1-2A Energy and Power and MEMS/NEMS,13:00-14:30,13:42,Grand Ballroom 1,SOI-based MEMS Vibrational Energy Harvester using Self-Assembled Electrets,"Shuma Kawamura1, Yuichiro Sunagawa1, Hiroki Naruo2, Satoshi Maruyama3, Yuya Tanaka4, and Daisuke Yamane1,2,5","Ritsumeikan University, Japan [1] Yokogawa Solution Service Corporation, Japan [2] Gunma University, Japan [3]",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0156.pdf,2,76,77
0441,0441,"Monday, June 22",OR1-2B Self Organized 1 In-body/Intracellular Cybernetic Avatars,13:00-14:30,13:45,Rose 1,Engineering signaling systems of plant hormones as triggers and readouts of in-body avatar cells,"Shigeo S. Sugano¹, Jutapat Romsuk¹, Mika Ikegaya¹, Tze Mun Loo², Kosuke Dodo³, Aki Hanyu², Atsushi Hijikata⁴, Yoko Yamanishi⁵, Satoshi Yotsumoto⁴, Yoshitaka Shirasaki⁶, Shinya Sakuma⁵, Akiko Takahashi²⁶","National Institute of Advanced Industrial Science and Technology, Japan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0441.pdf,2,78,79
0197,0197,"Monday, June 22",OR1-2C Optical MEMS 1,13:00-14:30,13:52,Rose 2,Optically Pumped GeSn Ridge Waveguide Lasers for Silicon Photonics,"R. Bansal1, and G. E. Chang2","National Yang Ming Chiao Tung University, Taiwan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0197.pdf,3,80,82
0200,0200,"Monday, June 22",OR1-2E Bio/Medical Sensors and MEMS/NEMS 2,13:00-14:30,13:52,Plum Blossom 2,"Proposal and demonstration of Multi-Chip Ion Imaging Device Enabling Measurement of Chemical Information over a Wide Area Otono Uchizono, Toshiki Kitamura, Yasuyuki Kimura, Takeshi Hizawa, Daisuke Akai, Yoshiko","O. Uchizono, T. Kitamura, Y. Kimura, T. Hizawa, D. Akai, Y. Noda, H. Doi, T. Horio, Yong-Joon Choi,","Toyohashi University of Technology, Japan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0200.pdf,2,83,84
0258,0258,"Monday, June 22",OR1-2D Physical Sensors and MEMS/NEMS 2,13:00-14:30,13:52,Rose 3,Sensitivity-Enhanced Monolithic CMOS-MEMS CMUT Receiver Front-End Using Low-Temperature ALD Alumina,"Tzu-Yun Huang1, Chih-Yuan Hsiao1, and Ming-Huang Li1 2","National Tsing Hua University, Taiwan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0258.pdf,2,85,86
0187,0187,"Monday, June 22",OR1-2A Energy and Power and MEMS/NEMS,13:00-14:30,13:54,Grand Ballroom 1,Effect of Increasing Moving Mass on the Output of an Inside-out Type Vibrational Energy Harvester,"Shuntaro Miyazato1, Hiroaki Honma1, Hiroshi Toshiyoshi2, Akio Uesugi1, Koji Sugano1 and Yoshitada Isono1","Kobe University, Japan [1], The University of Tokyo, Japan [2]",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0187.pdf,2,87,88
0442,0442,"Monday, June 22",OR1-2B Self Organized 1 In-body/Intracellular Cybernetic Avatars,13:00-14:30,14:00,Rose 1,Avatar cells production based on electromechanical poration by electrically- induced bubbles,"Nobutoshi Ota1, Kei Tateishi1, Yoko Yamanishi1,*","Kyushu University, Japan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0442.pdf,2,89,90
0201,0201,"Monday, June 22",OR1-2E Bio/Medical Sensors and MEMS/NEMS 2,13:00-14:30,14:04,Plum Blossom 2,"Enhanced Suppression of Non-Specific Adsorption of Graphene Oxide-Based Resonant Sensor for Label-Free Virus Sensing Viet Khoa Pham [1], Laoyang Yiayee [1], Homare Yoshida [1], Sachiko Sakai [1], Ippei Akita [2],","I.-H. Kwon1, Y.-J. Choi1, T. Noda1, K. Sawada1, and K. Takahashi1","Toyohashi University of Technology, Japan [1], National Institute of Advanced Industrial Science and Technology, Japan [2], Toyo University, Japan [3]",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0201.pdf,2,91,92
0229,0229,"Monday, June 22",OR1-2C Optical MEMS 1,13:00-14:30,14:04,Rose 2,Sandwiched p-Si/PtSi/p-Si Mid-Infrared Photodetector for Efficient Hot-Career Collection at Room Temperature,"Satoshi Nishita1, Ashenafi Abadi Elyas1, Daiji Noda2, Ryo Ohta2, and Tetsuo Kan1","The University of Electro-Communications, Japan [1], Micromachine Center, Japan [2]",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0229.pdf,2,93,94
