id,code,day,session_label,session_time,time,room,title,authors,affiliations,source_pdf,source_pages,start_page,end_page
0179,0179,"Monday, June 22",OR1-1E Chemical Sensors and MEMS/NEMS 1,10:00-12:00,11:04,Plum Blossom 2,A Non-Contact CMOS Complex Dielectric Constant Sensor System with Tunable Operating Frequency for Chemical Analysis,"Min-Yen Hsieh, Jung-Cheng Liao, Ya-Fu Liou, Hua-En Shih, Yu-Wei Chiang, Sheng-Yu Peng, Chii-Wann Lin","National Taiwan University, Taiwan [1] National Taiwan University of Science and Technology, Taiwan [2]",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0179.pdf,2,25,26
0289,0289,"Monday, June 22",OR1-1B Acoustic and RF MEMS,10:00-12:00,11:04,Rose 1,Enhanced Frequency Tunability of CMOS-MEMS Comb-Driven Folded-Beam Resonators via Non-Uniform Comb Design,"Yi-Xiang Chen, Wei-Chang Li","National Taiwan University, Taiwan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0289.pdf,2,27,28
0130,0130,"Monday, June 22",OR1-1A Bio/Medical Sensors and MEMS/NEMS 1,10:00-12:00,11:06,Grand Ballroom 1,Rapid Oral Cancer Screening via Salivary Exosomes Using a Shear-Horizontal Surface Acoustic Wave Biosensing Platform,"Dhrubajyoti Das, Hiromi Yatsuda, Wei-Fan Chiang, Tai-Shan Cheng, Chi-Ying F. Huang, Dar-Bin Shieh, Han-Sheng Chuang","National Cheng Kung University, Taiwan [1] tst Biomedical Electronics Co., Ltd., Taiwan [2] Chi Mei Medical Center, Taiwan [3] National Yang Ming Chiao Tung University, Taiwan [4] National Cheng Kung University Hospital, Taiwan [5]",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0130.pdf,3,29,31
0126,0126,"Monday, June 22","OR1-1C Material, Fabrication, and Packaging 1",10:00-12:00,11:16,Rose 2,From Metal to Polymer: Table-tilting type 5-Axis Micromilling Strategies for 3D Microfluidic Device Fabrication,"C.W. Tsao, C. Y. Kuan, Y.Q. Zhao","National Central University, Taiwan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0126.pdf,2,32,33
0148,0148,"Monday, June 22",OR1-1D Physical Sensors and MEMS/NEMS 1,10:00-12:00,11:16,Rose 3,Miniaturization of High-Sensitivity Gold Single-axis MEMS Accelerometer by Adjusting Spring Constant and Hole Size of Perforated Proof-mass,"T. Yamada, C. Mukaide, T. Kurioka, K. Machida, T. M. Chang, C. Chen, Y. Miyake, M. Sone, H. Ito","Institute of Science Tokyo, Japan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0148.pdf,2,34,35
0284,0284,"Monday, June 22",OR1-1E Chemical Sensors and MEMS/NEMS 1,10:00-12:00,11:16,Plum Blossom 2,Evaluation of Hysteresis in Au/Ta₂O₅/Pd-based Hetero-core Optical Fiber Hydrogen Sensors,"T. Yoshimoto, A. Hosoki, M. Nishiyama","Soka University, Japan [1] Akita University, Japan [2]",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0284.pdf,2,36,37
0298,0298,"Monday, June 22",OR1-1B Acoustic and RF MEMS,10:00-12:00,11:16,Rose 1,Near Spurious-Free SH-SAW Resonators on LNOI Platform Via Propagation Angle Twisting and Tilted Electrode,"Yu-Sian Lin, Sung-Yuan Huang, Ya-Ching Yu, Zhi-Qiang Lee, Ming-Huang Li","National Tsing Hua University, Taiwan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0298.pdf,2,38,39
0131,0131,"Monday, June 22",OR1-1A Bio/Medical Sensors and MEMS/NEMS 1,10:00-12:00,11:18,Grand Ballroom 1,Food-Based Isotropic Edible Wireless Sensor for Gastrointestinal Monitoring,"R. Matsuda, K.Tomita, S. Miura, M. Satoh, T. Kan, H. Onoe","Keio University, Japan [1] The University of Electro-Communications, Japan [2]",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0131.pdf,2,40,41
0140,0140,"Monday, June 22","OR1-1C Material, Fabrication, and Packaging 1",10:00-12:00,11:28,Rose 2,Development of Soft Microgripper Arrays Using Photothermally Driven Hydrogels,"S. Oishi, S. Miura, S. Iwano, Y. Sato, M. Mukai, K. Iijima, S. Maruo","Yokohama National University, Japan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0140.pdf,2,42,43
0221,0221,"Monday, June 22",OR1-1E Chemical Sensors and MEMS/NEMS 1,10:00-12:00,11:28,Plum Blossom 2,Cleanroom-Free Monolithic PCB EGFET with Integrated Microchamber via Room-Temperature TiO₂ Deposition for Scalable pH Sensing,"Zongqin KE, Amine Bermak, Yi-Kuen LEE","The Hong Kong University of Science and Technology, Hong Kong [1] Hamad Bin Khalifa University, Qatar [2]",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0221.pdf,2,44,45
0337,0337,"Monday, June 22",OR1-1B Acoustic and RF MEMS,10:00-12:00,11:28,Rose 1,Single-chip CMOS-MEMS Oscillators Based on 0.18 μm CMOS for Timing Applications,"Yu-Hung Lee, Chan-Chen Yu, Pin-Hsien Lee, Chia-Yi Hsiao, Sheng-Shian Li","National Tsing Hua University, Taiwan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0337.pdf,2,46,47
0340,0340,"Monday, June 22",OR1-1D Physical Sensors and MEMS/NEMS 1,10:00-12:00,11:28,Rose 3,High-Entropy Relaxor Ferroelectrics on Flexible mica substrate for Advanced Sensors,"Yu-En Pan, Yu-Hao Tu, Mengyao Xiao, Ying-Hao Chu","National Tsing Hua University, Taiwan [1] National University of Singapore, Singapore [2]",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0340.pdf,2,48,49
0144,0144,"Monday, June 22",OR1-1A Bio/Medical Sensors and MEMS/NEMS 1,10:00-12:00,11:30,Grand Ballroom 1,Effect of Polarity on Single-cell Electroporation in a Microfluidic device with,"K. Vijitnukoonpradit, N. Panklang, N. Phansiri, B. Techaumnat","Chulalongkorn University, Thailand [1] Rajamangala University of Technology Thanyaburi, Thailand [2] Ubon Ratchathani University, Thailand [3]",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0144.pdf,2,50,51
0149,0149,"Monday, June 22","OR1-1C Material, Fabrication, and Packaging 1",10:00-12:00,11:40,Rose 2,Immersion Laser Functional Thinning of Freestanding Metal Foils for MEMS Hot-Film Thermal Sensors,"M. N. Mohamed Zukri, M. S. Al Farisi, Y. Hasegawa, M. Shikida","Hiroshima City University, Japan [1], Kyushu Institute of Technology, Japan [2]",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0149.pdf,2,52,53
